brewerySlug,beerSlug,name,beers,description,beerStyle,malts,hops,line1,line2,abv,ibu,originalGravity,availability,Image,pageImage,mapImage,Calories,carb,beerurl,mainImage
empyrean,pitched-blue,Pitched Blue Black & Blueberry Ale,Pitched Blue Black & Blueberry Ale,"Find your thrill... Navigate the cosmos and awaken your senses to fresh blueberry and biscuit malts with subtle, stimulating dark notes. Our newest late-summer seasonal pairs well with grilled fish, ice cream and creme brulee.",Black and Blueberry Ale,"2-Row, Munich, Caramel 60, Honey Malt, Carafa III, Flaked Barley",Galena,Natural Blueberry Juice,,5,16,13.5,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fpitched-blue%2F_resized%2Fpitched-blue_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fpitched-blue%2Fpitched-blue.png?alt=media,,,,
empyrean,aries-marzen,Aries Marzen Oktoberfest,Aries Marzen Oktoberfest,"A clean and balanced presentation of malty sweetness with a refreshing herbal hop finish. There's an Oktoberfest in every sip. Best enjoyed with savory pork dishes, slow-grilled meats, bold cheeses and smoked game.",fietbier october,Vienna and Caramunich,Perle and Tettnanger,Slightly malty,,5,28,13.7,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Faries-marzen%2F_resized%2Faries-marzen_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Faries-marzen%2Faries-marzen.png?alt=media,,,,
empyrean,super-nova,Super Nova California Common,Super Nova California Common,"The backbone of smooth Pilsner malt and touch of sharp Rye complement the finish: a candy-citrus and fruit character from our blend of Amarillo and Galaxy hops. Smooth and light-bodied like all good summer beers, Super Nova™ is a formula for the modern era.",California Common,"Pilsner, Aromatic, 2-Row, Flaked Rye","Galaxy, Amarillo",Balanced,,5,33,13.1,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fsuper-nova%2F_resized%2Fsuper-nova_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fsuper-nova%2Fsuper-nova.png?alt=media,,,,
empyrean,sun-slinger,SunSlinger XPA,SunSlinger XPA,"Plunge face-first into a cool, desert mirage, dripping with sunshine citrus and lemonade highlights. Warm, dry-hop aromas and flavors vibrate around you. A wheat-centered pale ale, generously dry-hopped for effect. Pale and crisp with lemon citrus highlights. Emerge refreshed, without the carbs or calories. Keep on ridin', long after the sun goes down.",Pale Ale,"Pale 2-Row, Wheat","Crystal, Triple Pearl",Slightly hoppy,,4,24,10,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fsun-slinger%2F_resized%2Fsun-slinger_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fsun-slinger%2Fsun-slinger.png?alt=media,110,,,
empyrean,dark-side,Dark Side Vanilla Porter,Dark Side Vanilla Porter,"An infusion of old-world beer and contemporary soul. Smooth, dark and roasted with highlights of chocolate, coffee and vanilla. Pair with beef, Indian or Asian cuisine and chocolate or vanilla desserts.",Vanilla Porter,"2-Row, Caramel 60, Midnight Wheat, Aromatic and Roast", Perle and Cascade,Extra malty,Natural Vanilla,5,23,14.5,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fdark-side%2F_resized%2Fdark-side_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fdark-side%2Fdark-side.png?alt=media,,,,
empyrean,long-route,Long Route Peanut Butter Porter,Long Route Peanut Butter Porter,"With delightful aroma of peanut butter cup, this beer maintains a porter backbone with twisting layers of chocolate, peanut butter and toast. An appealing balance of beer and peanut butter candy flavors. Pairs well with grilled meats, curry, Thai, baked apples and chocolate desserts.",Peanut Butter Porter,"Maris Otter, Biscuit, Dark Crystal, Roast and Midnight Wheat",Meridian,"Artificial Peanut Butter Flavoring (non-allergenic), Flaked Oats and Lactose (Milk Sugar)",Extra malty,5,20,,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Flong-route%2F_resized%2Flong-route_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Flong-route%2Flong-route.png?alt=media,,,,
empyrean,watch-man-ipa,Watch Man IPA,Watch Man IPA,"Serving as an ancient navigational pointer and constructed from unworked stones in the likeness of a human, INUKSHUK means, “you are on the right path.” Watch Man IPA keeps the bitterness firm but in check, and it is accented by floral and citrus notes from the hops. Pair with flaky grilled fish, creamy pastas and hearty salads.",IPA,"2-Row, Caramel 60 and Aromatic","Grown in Nebraska -- Nugget, Columbus, Cashmere and Centennial",, Extra hoppy,6,58,14.3,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fwatch-man-ipa%2F_resized%2Fwatch-man-ipa_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fwatch-man-ipa%2Fwatch-man-ipa.png?alt=media,,,,
empyrean,chaco-canyon-gold,Chaco Canyon Gold,Chaco Canyon Gold,"We brew this easy-going golden ale with a bit of Nebraska honey for a unique, sweet-yet-dry character, balanced with a crisp hop finish. Pair with fried foods, Southwest cuisine and grilled chicken or fish.",,"2-Row, Caramel Munich, Caramel 60 and Euro Pils",Perle and Cascade,Natural Honey, Slightly malty,4,21,12,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fchaco-canyon-gold%2F_resized%2Fchaco-canyon-gold_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fchaco-canyon-gold%2Fchaco-canyon-gold.png?alt=media,,,,
empyrean,zookeeper-pink-guava,Zookeeper Pink Guava,Zookeeper Pink Guava,"As the Lincoln Children’s Zoo reopens to members and the public, a brand-new beer hits store shelves with proceeds supporting the Zoo’s expansion project. Named Zookeeper Pink Guava Pale Ale, this fierce, limited-edition brew offers a light, refreshing body with an exotic twist due to the addition of fresh guava puree. This sweet-natured pale ale has a reputation for running wild.",American Pale Ale,"Pale 2-Row, Pilsner, Melanodin, Blonde Oats","Sabro, Comet (Nebraska-grown)",,Hoppy,5,35,12.5,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fzookeeper-pink-guava%2F_resized%2Fzookeeper-pink-guava_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fzookeeper-pink-guava%2Fzookeeper-pink-guava.png?alt=media,,,,
empyrean,luna-sea,Luna Sea,Luna Sea,"Extra Special Bitter is our homage to the best of English beers. Brewed with imported English malts for a bold, caramel-sweet, yet crisp ale. So balanced, it's lunacy! Pair with grilled steak, salmon, BBQ, wild game and caramel desserts.",IPA,"2-Row, Biscuit, Caramel 60 and Aromatic",Galena and Cluster,Extra Special Bitter (ESP),Balanced,6,31,14.5,6-pack bottles and 5- and 15.5-gallon kegs,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fluna-sea%2F_resized%2Fluna-sea_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fluna-sea%2Fluna-sea.png?alt=media,,,,
